builder,n_tokens,n_threads,t_total_s,t_sa_s,mem_mb,lat_1g_med,lat_1g_p99,lat_2g_med,lat_2g_p99,lat_4g_med,lat_4g_p99
rust,2505000,1,1.262,0.682,0.0,65.1,185.62,84.43,116.08,96.27,122.97
caps_sa,2505000,1,3.235,2.661,0.0,63.85,173.92,80.72,102.36,90.93,120.74
rust,5010000,1,2.652,1.489,0.0,67.42,193.4,89.11,124.02,103.11,134.48
caps_sa,5010000,1,6.92,5.776,0.0,67.59,170.81,87.19,116.34,101.75,132.29
rust,25050000,1,15.692,9.741,0.0,75.46,283.44,101.12,173.03,118.15,157.6
caps_sa,25050000,1,41.484,35.503,0.0,75.52,278.26,101.03,164.7,121.34,157.93
rust,50100000,1,32.329,20.217,0.0,78.97,301.41,104.41,185.02,121.59,172.19
caps_sa,50100000,1,90.349,78.577,0.0,78.88,260.79,105.63,174.09,127.06,180.46
rust,250500000,1,169.791,106.963,0.0,85.27,384.14,117.23,277.23,144.76,264.85
caps_sa,250500000,1,466.094,404.494,0.0,86.08,378.71,116.98,286.6,142.57,233.52
